Movie,Rating,Genre
Full Metal Jacket (1987),8.3,"Drama, War"
Flags of Our Fathers (2006),7.1,"Drama, History, War"
The Book Thief (2013),7.6,"Drama, War"
The Boy in the Striped Pajamas (2008),7.8,"Drama, War"
World War Z (2013),7.0,"Action, Adventure, Horror"
The Exorcism of Emily Rose (2005),6.7,"Drama, Horror, Thriller"
The Descent (2005),7.2,"Adventure, Horror, Thriller"
The Devil's Advocate (1997),N/A,Change File Name
Haunt (2014),5.2,"Horror, Mystery, Romance"
Sinister (2012),6.8,"Horror, Mystery"
Mama (2013),6.2,"Horror, Thriller"
Oculus (2013),6.5,"Horror, Mystery"
The Host (2013),5.9,"Action, Adventure, Romance"
The Possession (2012),5.9,"Horror, Thriller"
The Ring (2002).CD1,N/A,Change File Name
The Ring (2002).CD2,N/A,Change File Name
The Ring Two (2005),5.4,"Horror, Mystery"
Annabelle (2014),5.4,"Horror, Mystery, Thriller"
Trick 'r Treat (2007),6.8,"Horror, Thriller"
Apartment 1303 3D (2012),N/A,Change File Name
Patrick (2013),4.9,"Horror, Sci-Fi, Thriller"
Shaun of the Dead,8.0,"Comedy, Horror"
The Appearing [2014] HDRip XViD juggs[ETRG],N/A,Change File Name
Crawlspace (2012),4.8,"Horror, Mystery, Sci-Fi"
Thor (2011),7.0,"Action, Adventure, Fantasy"
The Amazing Spider-Man 2 (2014),N/A,Change File Name
Transformers Age of Extinction (2014),5.7,"Action, Adventure, Sci-Fi"
Man of Steel (2013),7.1,"Action, Adventure, Fantasy"
Captain America The Winter Soldier (2014),7.8,"Action, Adventure, Sci-Fi"
Justice League War (2014),N/A,"Action, Comedy"
Kick-Ass (2010),N/A,Change File Name
The Wolverine (2013),6.7,"Action, Adventure, Sci-Fi"
X-Men Days of Future Past (2014),N/A,Change File Name
Pacific Rim (2013),7.0,"Action, Adventure, Sci-Fi"
Real Steel (2011),7.1,"Action, Drama, Family"
The Darkest Hour (2011),4.9,"Action, Adventure, Horror"
The Darkest Hour (2011),4.9,"Action, Adventure, Horror"
Battleship (2012),5.8,"Action, Adventure, Sci-Fi"
Inside.Out.2015.HDTS.600MB.MkvCage,N/A,Change File Name
Superman Batman Public Enemies,7.2,"Animation, Action, Drama"
How.to.Train.Your.Dragon.2.2014.HDRip.XViD-juggs[ETRG],N/A,Change File Name
Rio,6.9,"Animation, Adventure, Comedy"
Ice Age Continental Drift (2012),6.6,"Animation, Adventure, Comedy"
Tangled (2010),7.8,"Animation, Adventure, Comedy"
The Croods (2013),7.2,"Animation, Adventure, Comedy"
The Nut Job (2014),5.8,"Animation, Adventure, Comedy"
The Boxtrolls (2014),6.8,"Animation, Adventure, Comedy"
The Boxtrolls (2014),6.8,"Animation, Adventure, Comedy"
Turbo (2013),6.5,"Animation, Adventure, Comedy"
Big Hero 6 (2014),7.9,"Animation, Action, Adventure"
Coraline (2009),7.7,"Animation, Family, Fantasy"
Corpse Bride (2005),7.4,"Animation, Drama, Family"
Despicable Me 2 (2013),7.5,"Animation, Adventure, Comedy"
Frankenweenie (2012),7.0,"Animation, Comedy, Family"
Hotel Transylvania (2012),7.1,"Animation, Comedy, Family"
How to Train Your Dragon 2 (2014),7.9,"Animation, Action, Adventure"
Monsters University (2013),7.3,"Animation, Adventure, Comedy"
Epic (2013),6.7,"Animation, Adventure, Family"
Escape from Planet Earth,6.0,"Animation, Adventure, Comedy"
target-tintin.xvid,N/A,Change File Name
Home.2015.WEB-DL.x264-RARBG,N/A,Change File Name
RARBG.com,N/A,Change File Name
kp2UnKnOwN,N/A,Change File Name
Cars 2[2011]BRRip XviD-ExtraTorrentRG,N/A,Change File Name
Cars[2006]DvDrip[Eng]-aXXo,N/A,Change File Name
Penguins.of.Madagascar.2014.HC.HDRip.XViD-juggs[ETRG],N/A,Change File Name
Death Note - 01 - Rebirth,N/A,Change File Name
Death Note - 02 - Confrontation,N/A,Change File Name
Death Note - 03 - Dealings,N/A,Change File Name
Death Note - 04 - Pursuit,N/A,Change File Name
Death Note - 05 - Tactics,N/A,Change File Name
